,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8,Digital,OverDrive,EBOOK,2018,2,1,Krik? Krak!,,Edwidge Danticat,"Fiction, Literature, Short Stories","Random House, Inc.",2013
37,Digital,OverDrive,EBOOK,2018,3,2,More Than This,,Patrick Ness,"Young Adult Fiction, Young Adult Literature",Candlewick Press,2013
50,Digital,OverDrive,EBOOK,2018,12,3,Love Is Murder,,Sandra Brown,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2013
51,Digital,OverDrive,EBOOK,2018,12,3,Monkey Play,,Alyssa Satin Capucilli,"Beginning Reader, Juvenile Fiction","Random House, Inc.",2013
56,Digital,OverDrive,EBOOK,2018,12,1,The Story of French,,Jean-Benoit Nadeau,"History, Language Arts, Nonfiction",Macmillan Publishers,2013
61,Digital,OverDrive,EBOOK,2018,12,1,Who Was Ben Franklin?,,Dennis Brindell Fradin,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
75,Digital,OverDrive,EBOOK,2018,12,2,The Girls' Guide to Hunting and Fishing,,Melissa Bank,"Fiction, Literature","Penguin Group (USA), Inc.",2013
147,Digital,OverDrive,EBOOK,2018,1,1,The White Plague,,Frank Herbert,"Fiction, Science Fiction",Macmillan Publishers,2013
182,Digital,OverDrive,EBOOK,2018,1,1,HHhH: A Novel,,Laurent Binet,"Fiction, Literature",Macmillan Publishers,2013
184,Digital,OverDrive,EBOOK,2018,1,1,Losing It,,Cora Carmack,"Fiction, Romance",HarperCollins Publishers Inc.,2013
191,Digital,OverDrive,EBOOK,2018,1,1,Alternate Realities,,C. J. Cherryh,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2013
192,Digital,OverDrive,EBOOK,2018,1,1,Philosophy Made Simple,,Robert Hellenga,"Fiction, Literature","Hachette Digital, Inc.",2013
219,Digital,OverDrive,EBOOK,2018,1,2,"The Minor Adjustment Beauty Salon: The No. 1 Ladies' Detective Agency Series, Book 14",,Alexander McCall Smith,"Fiction, Humor (Fiction), Mystery","Random House, Inc.",2013
221,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Problem of Pain (Unabridged),,C. S. Lewis,"Nonfiction, Religion & Spirituality",HarperCollins Publishers Inc.,2013
235,Digital,OverDrive,EBOOK,2018,1,1,Gunman's Rhapsody,,Robert B. Parker,"Fiction, Western","Penguin Group (USA), Inc.",2013
248,Digital,OverDrive,EBOOK,2018,1,1,"Borderlands: Inspector Benedict Devlin Series, Book 1",,Brian McGilloway,"Fiction, Mystery",Macmillan Publishers,2013
271,Digital,OverDrive,EBOOK,2018,1,1,365 Slow Cooker Suppers,,Stephanie O'Dea,"Cooking & Food, Nonfiction",Houghton Mifflin Harcourt Trade and Reference,2013
283,Digital,OverDrive,EBOOK,2018,1,1,Negocios: Spanish-language edition of Drown,,Junot Díaz,"Fiction, Literature, Short Stories","Random House, Inc.",2013
329,Digital,OverDrive,EBOOK,2018,1,3,"My Soul to Take: Thora Gudmundsdottir Series, Book 2",,Yrsa Sigurdardottir,"Fiction, Mystery",HarperCollins Publishers Inc.,2013
378,Digital,OverDrive,EBOOK,2018,1,5,"""F"" is for Fugitive: Kinsey Millhone Series, Book 6",,Sue Grafton,"Fiction, Mystery",Macmillan Publishers,2013
379,Digital,OverDrive,EBOOK,2018,1,2,"Damascus Countdown: David Shirazi Series, Book 3",,Joel C. Rosenberg,"Christian Fiction, Fiction, Suspense, Thriller",Tyndale House Publishers,2013
427,Digital,OverDrive,EBOOK,2018,1,3,"Murder on St. Mark's Place: Gaslight Mystery Series, Book 2",,Victoria Thompson,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
526,Digital,OverDrive,EBOOK,2018,1,1,"Obsidian Mirror: Chronoptika Series, Book 1",,Catherine Fisher,"Fantasy, Mythology, Science Fiction & Fantasy, Young Adult Fiction","Penguin Group (USA), Inc.",2013
535,Digital,OverDrive,EBOOK,2018,1,2,The Lost Weekend,,Charles Jackson,"Classic Literature, Fiction, Literature","Random House, Inc.",2013
570,Digital,OverDrive,EBOOK,2018,1,2,Faeries Gone Wild,,MaryJanice Davidson,"Fantasy, Fiction, Romance",Macmillan Publishers,2013
574,Digital,OverDrive,EBOOK,2018,1,3,"Know Yourself, Forget Yourself: Five Truths to Transform Your Work, Relationships, and Everyday Life",,Marc Lesser,"New Age, Nonfiction",New World Library,2013
589,Digital,OverDrive,AUDIOBOOK,2018,1,2,Saving Zoe: A Novel (unabridged) (Unabridged),,Alyson Noël,"Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
606,Digital,OverDrive,AUDIOBOOK,2018,1,4,"City of Fallen Angels: Shadowhunters: The Mortal Instruments Series, Book 4 (unabridged) (Unabridged)",,Cassandra Clare,"Fantasy, Young Adult Fiction",Simon & Schuster - All Library,2013
630,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Shark's Paintbrush: Biomimicry and How Nature Is Inspiring Innovation (unabridged) (Unabridged),,Jay Harman,"Business, Nature, Nonfiction, Science","Blackstone Audio, Inc.",2013
661,Digital,OverDrive,EBOOK,2018,1,1,The Dosadi Experiment,,Frank Herbert,"Fiction, Science Fiction",Macmillan Publishers,2013
714,Digital,OverDrive,AUDIOBOOK,2018,1,1,Cat O'Nine Tales: And Other Stories (unabridged) (Unabridged),,Jeffrey Archer,"Fiction, Short Stories",Macmillan Audio,2013
733,Digital,OverDrive,EBOOK,2018,1,1,Mutants: On Genetic Variety and the Human Body,,Armand Marie Leroi,"Nonfiction, Science","Penguin Group (USA), Inc.",2013
751,Digital,OverDrive,EBOOK,2018,1,1,The Stargirl Collection,,Jerry Spinelli,"Romance, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
757,Digital,OverDrive,EBOOK,2018,1,2,Investing Online For Dummies,,Matt Krantz,"Business, Nonfiction","John Wiley & Sons, Inc.",2013
762,Digital,OverDrive,EBOOK,2018,1,1,"Faithful Unto Death: Chief Inspector Barnaby Series, Book 5",,Caroline Graham,"Fiction, Mystery",Macmillan Publishers,2013
773,Digital,OverDrive,EBOOK,2018,1,1,"Zakka Handmades: 24 Projects Sewn from Natural Fabrics to Help Organize, Adorn, and Simplify Your Life",,Amy Morinaka,"Crafts, Nonfiction",Quarto Publishing Group USA,2013
789,Digital,OverDrive,AUDIOBOOK,2018,1,3,"One, Two, Three: Absolutely Elementary Mathematics (unabridged) (Unabridged)",,David Berlinski,"Mathematics, Nonfiction",Books on Tape,2013
793,Digital,OverDrive,AUDIOBOOK,2018,1,2,Killing Jesus: A History (unabridged) (Unabridged),,Bill O'Reilly,"History, Nonfiction, Religion & Spirituality",Macmillan Audio,2013
